id,modo,categoria,nivel,tipo,quem,conteudo
CI-1-026,Grupo,Contato Íntimo,1,Desafio,Dupla,Coloque a cabeça no colo de [JOGADOR] de barriga pra baixo enquanto ela/ele passa a mão pelas suas costas por 30 segundos.
CI-1-027,Grupo,Contato Íntimo,1,Desafio,Dupla,Abrace [JOGADOR] por trás e respire no pescoço dela/dele por 20 segundos sem falar nada.
CI-1-028,Grupo,Contato Íntimo,1,Desafio,Dupla,Sente com as pernas abertas e convide [JOGADOR] pra sentar dentro delas de costas pra você por 30 segundos.
CI-1-029,Grupo,Contato Íntimo,1,Desafio,Dupla,Encoste o rosto no rosto de [JOGADOR] — bochecha com bochecha — e fique assim por 15 segundos.
CI-1-030,Grupo,Contato Íntimo,1,Desafio,Dupla,Fique deitado/a de lado colado/a em [JOGADOR] com o braço por cima da cintura dela/dele por 1 minuto.
CI-1-031,Grupo,Contato Íntimo,1,Desafio,Grupo,"O grupo todo fica de pé em roda, bem próximos, com os ombros encostados uns nos outros por 30 segundos em silêncio."
CI-1-032,Grupo,Contato Íntimo,1,Desafio,Grupo,O grupo forma uma pilha de abraços — cada um encosta em quem quiser por 1 minuto.
CI-1-033,Grupo,Contato Íntimo,1,Desafio,Grupo,Cada pessoa senta entre as pernas de quem está atrás formando uma corrente — ficam assim por 30 segundos.
CI-1-034,Grupo,Contato Íntimo,1,Desafio,Grupo,O grupo todo fica deitado próximo ao mesmo tempo — cada um coloca a cabeça onde quiser por 1 minuto.
CI-1-035,Grupo,Contato Íntimo,1,Desafio,Grupo,Cada pessoa coloca as mãos na cintura de quem está na frente formando uma fila encostada — 30 segundos.
CI-1-036,Grupo,Contato Íntimo,1,Verdade,Dupla,O que você sente quando [JOGADOR] entra no seu espaço pessoal sem pedir permissão?
CI-1-037,Grupo,Contato Íntimo,1,Verdade,Dupla,"Se [JOGADOR] sentasse no seu colo agora, o que você faria com as mãos?"
CI-1-038,Grupo,Contato Íntimo,1,Verdade,Dupla,Você já ficou num abraço com [JOGADOR] por mais tempo do que devia?
CI-1-039,Grupo,Contato Íntimo,1,Verdade,Dupla,O que você sentiria se [JOGADOR] encostasse no seu pescoço agora?
CI-1-040,Grupo,Contato Íntimo,1,Verdade,Dupla,Qual é o contato físico que você toleraria de [JOGADOR] que não toleraria de mais ninguém aqui?
CI-1-041,Grupo,Contato Íntimo,1,Verdade,Solo,Você já ficou colado/a em alguém mais tempo do que o necessário só porque queria?
CI-1-042,Grupo,Contato Íntimo,1,Verdade,Solo,O que te deixa mais excitado/a — o primeiro toque ou a tensão antes dele acontecer?
CI-1-043,Grupo,Contato Íntimo,1,Verdade,Solo,"Qual é a posição de contato físico que você mais gosta — colo, abraço por trás, lado a lado?"
CI-1-044,Grupo,Contato Íntimo,1,Verdade,Solo,Você consegue dormir abraçado/a com alguém que te atrai sem que isso vire outra coisa?
CI-1-045,Grupo,Contato Íntimo,1,Verdade,Solo,"Qual é o contato físico casual que, em certos contextos, te excita mais do que deveria?"
CI-1-046,Grupo,Contato Íntimo,1,Verdade,Solo,Você prefere ser quem abraça por trás ou quem é abraçado/a? O que isso diz sobre você?
CI-1-047,Grupo,Contato Íntimo,1,Verdade,Solo,"Qual foi a última vez que um contato físico ""inocente"" com alguém claramente não foi inocente?"
CI-1-048,Grupo,Contato Íntimo,1,Verdade,Solo,O que você sente quando alguém que te atrai fica no seu espaço pessoal por mais tempo do que o normal?
CI-1-049,Grupo,Contato Íntimo,1,Verdade,Solo,"Você já usou desculpa de frio, cansaço ou filme pra ficar colado/a em alguém que queria?"
CI-1-050,Grupo,Contato Íntimo,1,Verdade,Solo,Qual é a diferença que você sente no corpo quando o contato físico tem intenção e quando não tem?
CI-2-001,Grupo,Contato Íntimo,2,Desafio,Dupla,Sente no colo de [JOGADOR] de frente e fique com as pernas em volta dela/dele por 1 minuto.
CI-2-002,Grupo,Contato Íntimo,2,Desafio,Dupla,Fique de frente pra [JOGADOR] completamente colado/a — quadril com quadril — e dance por 30 segundos.
CI-2-003,Grupo,Contato Íntimo,2,Desafio,Dupla,Deite em cima de [JOGADOR] por 30 segundos — ela/ele decide se coloca os braços em volta de você.
CI-2-004,Grupo,Contato Íntimo,2,Desafio,Dupla,Fique de costas em [JOGADOR] e faça um grinding devagar por 20 segundos.
CI-2-005,Grupo,Contato Íntimo,2,Desafio,Dupla,Sente no colo de [JOGADOR] de frente e coloque as mãos nos ombros dela/dele — fique assim por 1 minuto sem desviar o olhar.
CI-2-006,Grupo,Contato Íntimo,2,Desafio,Dupla,Deixe [JOGADOR] sentar no seu colo de frente e coloque as mãos na cintura dela/dele por 1 minuto.
CI-2-007,Grupo,Contato Íntimo,2,Desafio,Dupla,Puxe [JOGADOR] pelo quadril em direção a você até os corpos ficarem completamente colados — fique assim por 30 segundos.
CI-2-008,Grupo,Contato Íntimo,2,Desafio,Dupla,"Fique de frente pra [JOGADOR] sentados, pernas entrelaçadas, e segure o rosto dela/dele por 20 segundos sem fazer mais nada."
CI-2-009,Grupo,Contato Íntimo,2,Desafio,Dupla,Encoste o quadril em [JOGADOR] de costas e mova devagar por 15 segundos.
CI-2-010,Grupo,Contato Íntimo,2,Desafio,Dupla,Deite do lado de [JOGADOR] de frente pra ela/ele com os corpos completamente encostados por 1 minuto.
CI-2-011,Grupo,Contato Íntimo,2,Desafio,Dupla,Sente no colo de [JOGADOR] de lado e deixe ela/ele colocar a mão onde quiser dentro do razoável por 30 segundos.
CI-2-012,Grupo,Contato Íntimo,2,Desafio,Dupla,Fique de joelhos na frente de [JOGADOR] sentado/a e segure as coxas dela/dele por 20 segundos olhando nos olhos.
CI-2-013,Grupo,Contato Íntimo,2,Desafio,Dupla,"Coloque [JOGADOR] de costas contra a parede, fique a 5 cm de distância e mantenha o olhar por 20 segundos."
CI-2-014,Grupo,Contato Íntimo,2,Desafio,Dupla,Abrace [JOGADOR] por trás e mova o quadril junto com ela/ele por 20 segundos.
CI-2-015,Grupo,Contato Íntimo,2,Desafio,Dupla,Sente de frente pra [JOGADOR] com as pernas por cima das dela/dele e puxe pela cintura até ficarem colados — 30 segundos.
CI-2-016,Grupo,Contato Íntimo,2,Desafio,Dupla,Fique em cima de [JOGADOR] deitado/a — peso total — por 20 segundos sem se apoiar nos cotovelos.
CI-2-017,Grupo,Contato Íntimo,2,Desafio,Dupla,Puxe [JOGADOR] pelo pescoço em direção a você até os lábios ficarem a menos de 2 cm — fique assim por 10 segundos.
CI-2-018,Grupo,Contato Íntimo,2,Desafio,Dupla,"Fique de frente pra [JOGADOR] sentados, pernas completamente entrelaçadas, e não se mova por 1 minuto."
CI-2-019,Grupo,Contato Íntimo,2,Desafio,Dupla,Coloque [JOGADOR] no seu colo de frente e coloque as mãos na parte de baixo das costas dela/dele.
CI-2-020,Grupo,Contato Íntimo,2,Desafio,Dupla,Deite com a cabeça no abdômen de [JOGADOR] e deixe ela/ele passar a mão no seu cabelo por 1 minuto.
CI-2-021,Grupo,Contato Íntimo,2,Desafio,Dupla,Fique de costas em [JOGADOR] parado/a — completamente encostado/a — e respira junto por 30 segundos.
CI-2-022,Grupo,Contato Íntimo,2,Desafio,Dupla,Sente no colo de [JOGADOR] e encoste a testa na testa dela/dele por 20 segundos sem fazer mais nada.
CI-2-023,Grupo,Contato Íntimo,2,Desafio,Dupla,Passe a perna por cima de [JOGADOR] deitados e fique assim com o corpo colado por 30 segundos.
CI-2-024,Grupo,Contato Íntimo,2,Desafio,Dupla,Fique de pé com [JOGADOR] entre você e a parede — sem encostar — por 15 segundos.
CI-2-025,Grupo,Contato Íntimo,2,Desafio,Dupla,Puxe [JOGADOR] pelo quadril e encoste completamente — quadril com quadril — e fique parado/a assim por 30 segundos.
CI-2-026,Grupo,Contato Íntimo,2,Desafio,Dupla,Sente em [JOGADOR] de frente e faça um movimento de dança lento por 30 segundos sem tirar o olhar dela/dele.
CI-2-027,Grupo,Contato Íntimo,2,Desafio,Dupla,Coloque as mãos nas costas de [JOGADOR] e puxe até ficar colado/a — fique assim 1 minuto.
CI-2-028,Grupo,Contato Íntimo,2,Desafio,Dupla,Deite de frente pra [JOGADOR] com as pernas entrelaçadas e fique olhando nos olhos dela/dele por 1 minuto sem falar.
CI-2-029,Grupo,Contato Íntimo,2,Desafio,Dupla,Fique de costas em [JOGADOR] e guie as mãos dela/dele pra sua cintura — fique assim por 30 segundos.
CI-2-030,Grupo,Contato Íntimo,2,Desafio,Dupla,Sente de frente pra [JOGADOR] no colo — quadril com quadril — e conte até 30 em silêncio sem se mover.
CI-2-031,Grupo,Contato Íntimo,2,Desafio,Grupo,O grupo forma pares aleatórios e cada par faz contato corporal de frente por 30 segundos ao mesmo tempo.
CI-2-032,Grupo,Contato Íntimo,2,Desafio,Grupo,Cada pessoa senta no colo de quem está à esquerda ao mesmo tempo — ficam assim por 30 segundos.
CI-2-033,Grupo,Contato Íntimo,2,Desafio,Grupo,O grupo todo fica de pé colado ao mesmo tempo — cada um escolhe onde ficar — por 1 minuto.
CI-2-034,Grupo,Contato Íntimo,2,Desafio,Grupo,Pares formados pelo grupo ficam de frente completamente encostados por 30 segundos ao mesmo tempo.
CI-2-035,Grupo,Contato Íntimo,2,Desafio,Grupo,"O grupo forma uma fila, cada um com o quadril encostado em quem está na frente — 30 segundos em silêncio."
CI-2-036,Grupo,Contato Íntimo,2,Verdade,Dupla,O que você sentiria se [JOGADOR] puxasse você pelo quadril em direção a ela/ele agora?
CI-2-037,Grupo,Contato Íntimo,2,Verdade,Dupla,Qual é o tipo de contato com [JOGADOR] que você claramente evita porque sabe que não conseguiria fingir que é neutro?
CI-2-038,Grupo,Contato Íntimo,2,Verdade,Dupla,"Se você estivesse deitado/a com [JOGADOR] com os corpos colados, você conseguiria dormir?"
CI-2-039,Grupo,Contato Íntimo,2,Verdade,Dupla,"O que você acha que aconteceria se você e [JOGADOR] ficassem de frente, encostados, por 1 minuto em silêncio?"
CI-2-040,Grupo,Contato Íntimo,2,Verdade,Dupla,Qual é o limite de contato físico com [JOGADOR] que você toleraria antes de não conseguir mais fingir que não quer mais?
CI-2-041,Grupo,Contato Íntimo,2,Verdade,Solo,"Qual é o tipo de contato físico que te excita mais rápido — quadril, peito, pescoço, ou outra coisa?"
CI-2-042,Grupo,Contato Íntimo,2,Verdade,Solo,Você já ficou excitado/a num contato físico que claramente não era intencional da outra parte?
CI-2-043,Grupo,Contato Íntimo,2,Verdade,Solo,Qual é a posição de contato físico que te deixa mais vulnerável sexualmente?
CI-2-044,Grupo,Contato Íntimo,2,Verdade,Solo,O que você faz quando está deitado/a colado/a em alguém que quer e não pode agir?
CI-2-045,Grupo,Contato Íntimo,2,Verdade,Solo,Você já ficou com vontade de fazer algo numa situação de contato físico próximo mas se conteve? O que aconteceu?
CI-2-046,Grupo,Contato Íntimo,2,Verdade,Solo,Qual é a diferença que você sente no corpo quando o contato físico é com alguém que você claramente deseja?
CI-2-047,Grupo,Contato Íntimo,2,Verdade,Solo,O que passa pela sua cabeça quando alguém que te atrai fica de frente colado/a em você?
CI-2-048,Grupo,Contato Íntimo,2,Verdade,Solo,Você prefere dar o primeiro passo no contato físico ou prefere esperar ser puxado/a?
CI-2-049,Grupo,Contato Íntimo,2,Verdade,Solo,Qual é a parte do contato íntimo que te excita mais — o momento em que começa ou quando está acontecendo?
CI-2-050,Grupo,Contato Íntimo,2,Verdade,Solo,O que você acha que o seu corpo entrega sobre o que você está sentindo quando está fisicamente próximo/a de alguém que deseja?
CI-3-001,Grupo,Contato Íntimo,3,Desafio,Dupla,Sente no colo de [JOGADOR] de frente e faça grinding devagar por 1 minuto — sem parar antes do tempo.
CI-3-002,Grupo,Contato Íntimo,3,Desafio,Dupla,Fique de costas em [JOGADOR] completamente colado/a e faça movimentos de quadril por 30 segundos.
CI-3-003,Grupo,Contato Íntimo,3,Desafio,Dupla,Deite em cima de [JOGADOR] de frente — peso total — e fique assim por 1 minuto sem se apoiar.
CI-3-004,Grupo,Contato Íntimo,3,Desafio,Dupla,"Puxe [JOGADOR] pelo quadril, coloque entre você e a parede e fique assim por 30 segundos."
CI-3-005,Grupo,Contato Íntimo,3,Desafio,Dupla,Sente de frente no colo de [JOGADOR] e deixe ela/ele colocar as mãos onde quiser por 1 minuto.
CI-3-006,Grupo,Contato Íntimo,3,Desafio,Dupla,"Fique de joelhos na frente de [JOGADOR] sentado/a, coloque as mãos nas coxas abertas dela/dele e fique assim por 30 segundos."
CI-3-007,Grupo,Contato Íntimo,3,Desafio,Dupla,Coloque [JOGADOR] deitado/a e fique em cima fazendo movimentos lentos de quadril por 30 segundos.
CI-3-008,Grupo,Contato Íntimo,3,Desafio,Dupla,Fique de frente colado/a em [JOGADOR] com as mãos nos quadris dela/dele e mova devagar por 30 segundos.
CI-3-009,Grupo,Contato Íntimo,3,Desafio,Dupla,Deite com [JOGADOR] em conhaque por 1 minuto — você decide quem fica em qual posição.
CI-3-010,Grupo,Contato Íntimo,3,Desafio,Dupla,Sente de frente no colo de [JOGADOR] e faça movimentos circulares de quadril por 30 segundos olhando nos olhos dela/dele.
CI-3-011,Grupo,Contato Íntimo,3,Desafio,Dupla,"Coloque [JOGADOR] de costas contra a parede, fique colado/a de frente e fique assim por 1 minuto sem se mover."
CI-3-012,Grupo,Contato Íntimo,3,Desafio,Dupla,Fique em cima de [JOGADOR] deitado/a de frente e deixe ela/ele colocar as mãos onde quiser por 30 segundos.
CI-3-013,Grupo,Contato Íntimo,3,Desafio,Dupla,Puxe [JOGADOR] pelo pescoço em direção a você até os lábios ficarem encostados — não beije — por 20 segundos.
CI-3-014,Grupo,Contato Íntimo,3,Desafio,Dupla,Sente no colo de [JOGADOR] de frente sem roupa de baixo — ou sem a roupa íntima — e fique assim por 30 segundos.
CI-3-015,Grupo,Contato Íntimo,3,Desafio,Dupla,Fique de costas em [JOGADOR] deitados com o corpo completamente colado e não se mova por 1 minuto.
CI-3-016,Grupo,Contato Íntimo,3,Desafio,Dupla,Coloque a mão dentro da roupa de [JOGADOR] — na barriga ou nas costas — e fique assim por 20 segundos.
CI-3-017,Grupo,Contato Íntimo,3,Desafio,Dupla,Sente no colo de [JOGADOR] de frente e coloque a mão no rosto dela/dele enquanto faz contato visual por 1 minuto.
CI-3-018,Grupo,Contato Íntimo,3,Desafio,Dupla,Fique em cima de [JOGADOR] deitado/a e movimente o quadril devagar por 30 segundos enquanto mantém o contato visual.
CI-3-019,Grupo,Contato Íntimo,3,Desafio,Dupla,Deite com [JOGADOR] de frente completamente colados e não se mova por 2 minutos — só respire.
CI-3-020,Grupo,Contato Íntimo,3,Desafio,Dupla,Passe a mão pelo quadril e pela bunda de [JOGADOR] lentamente por 20 segundos.
CI-3-021,Grupo,Contato Íntimo,3,Desafio,Dupla,Fique de frente em [JOGADOR] colado/a com as mãos nas nádegas dela/dele por 30 segundos sem se mover.
CI-3-022,Grupo,Contato Íntimo,3,Desafio,Dupla,Sente de frente no colo de [JOGADOR] e deixe ela/ele passar as mãos onde quiser por 1 minuto completo.
CI-3-023,Grupo,Contato Íntimo,3,Desafio,Dupla,"Coloque [JOGADOR] de costas, fique em cima e faça movimentos de quadril por 30 segundos."
CI-3-024,Grupo,Contato Íntimo,3,Desafio,Dupla,Fique de costas em [JOGADOR] com as mãos dele/dela no seu quadril — faça movimentos por 30 segundos.
CI-3-025,Grupo,Contato Íntimo,3,Desafio,Dupla,Deite em cima de [JOGADOR] e deixe ela/ele segurar seu quadril por 1 minuto.
CI-3-026,Grupo,Contato Íntimo,3,Desafio,Dupla,Coloque a mão na parte interna da coxa de [JOGADOR] e mova devagar por 20 segundos sem parar.
CI-3-027,Grupo,Contato Íntimo,3,Desafio,Dupla,Sente no colo de [JOGADOR] sem calça ou shorts — só roupa íntima de baixo — por 1 minuto.
CI-3-028,Grupo,Contato Íntimo,3,Desafio,Dupla,Fique de frente colado/a em [JOGADOR] e mova o quadril junto com ela/ele por 1 minuto.
CI-3-029,Grupo,Contato Íntimo,3,Desafio,Dupla,Passe as duas mãos pela bunda de [JOGADOR] e puxe ela/ele em direção a você — fique assim por 20 segundos.
CI-3-030,Grupo,Contato Íntimo,3,Desafio,Dupla,Coloque [JOGADOR] no seu colo de frente e deixe ela/ele fazer movimentos livres por 1 minuto.
CI-3-031,Grupo,Contato Íntimo,3,Desafio,Grupo,O grupo forma pares e cada par faz grinding de frente por 30 segundos ao mesmo tempo.
CI-3-032,Grupo,Contato Íntimo,3,Desafio,Grupo,Cada pessoa fica em cima de quem quiser por 20 segundos — o grupo decide a ordem.
CI-3-033,Grupo,Contato Íntimo,3,Desafio,Grupo,O grupo todo fica completamente colado em roda — quadril com quadril — por 1 minuto em silêncio.
CI-3-034,Grupo,Contato Íntimo,3,Desafio,Grupo,Pares formados pelo grupo deitam juntos de frente por 30 segundos ao mesmo tempo.
CI-3-035,Grupo,Contato Íntimo,3,Desafio,Grupo,O grupo escolhe posições de contato explícito pra cada par e todos executam ao mesmo tempo por 30 segundos.
CI-3-036,Grupo,Contato Íntimo,3,Verdade,Dupla,O que você faria se [JOGADOR] sentasse de frente no seu colo e ficasse olhando nos seus olhos sem dizer nada?
CI-3-037,Grupo,Contato Íntimo,3,Verdade,Dupla,Qual é o contato físico com [JOGADOR] que você sabe que cruzaria um limite sem volta entre vocês?
CI-3-038,Grupo,Contato Íntimo,3,Verdade,Dupla,"Se [JOGADOR] ficasse em cima de você agora, o que você faria com as mãos — e você seria honesto/a sobre o motivo?"
CI-3-039,Grupo,Contato Íntimo,3,Verdade,Dupla,Qual é a coisa que você mais quer fazer com o corpo de [JOGADOR] que não faria sem uma desculpa como essa?
CI-3-040,Grupo,Contato Íntimo,3,Verdade,Dupla,O que você acha que aconteceria entre você e [JOGADOR] se ficassem deitados de frente colados por 5 minutos?
CI-3-041,Grupo,Contato Íntimo,3,Verdade,Solo,Qual é o tipo de contato físico que você não consegue fingir que é neutro mesmo quando tenta?
CI-3-042,Grupo,Contato Íntimo,3,Verdade,Solo,O que você sente quando alguém senta de frente no seu colo com intenção — e o que você faz?
CI-3-043,Grupo,Contato Íntimo,3,Verdade,Solo,"Qual é a linha de contato físico que, quando cruzada, você sabe que não tem mais volta?"
CI-3-044,Grupo,Contato Íntimo,3,Verdade,Solo,Você já ficou excitado/a de forma incontrolável num contato físico que deveria ser inocente? O que rolou?
CI-3-045,Grupo,Contato Íntimo,3,Verdade,Solo,O que você acha que entrega no seu corpo que você está completamente excitado/a num contato físico?
CI-3-046,Grupo,Contato Íntimo,3,Verdade,Solo,"Qual é a parte do contato físico explícito que te excita mais — o início, quando acontece ou o momento depois?"
CI-3-047,Grupo,Contato Íntimo,3,Verdade,Solo,"Você já usou um pretexto físico — dança, apoio, frio — pra ter um contato que claramente queria?"
CI-3-048,Grupo,Contato Íntimo,3,Verdade,Solo,O que você faz quando está completamente excitado/a num contato físico mas não pode agir?
CI-3-049,Grupo,Contato Íntimo,3,Verdade,Solo,Qual é o contato físico que você claramente quer de alguém daqui e que seria honesto/a de admitir agora?
CI-3-050,Grupo,Contato Íntimo,3,Verdade,Solo,"Se você pudesse ter qualquer tipo de contato físico com quem quisesse daqui agora, o que seria e com quem?"
EC-1-001,Grupo,Exposição Corporal,1,Desafio,Solo,Levante a blusa até o umbigo por 5 segundos e abaixe.
EC-1-002,Grupo,Exposição Corporal,1,Desafio,Solo,Mostre as costas levantando a blusa por 5 segundos e cubra de volta.
EC-1-003,Grupo,Exposição Corporal,1,Desafio,Solo,Deixe cair uma alça do ombro por 10 segundos e coloque de volta.
EC-1-004,Grupo,Exposição Corporal,1,Desafio,Solo,Abaixe levemente a calça pra mostrar o cós da roupa íntima por 5 segundos e ajuste.
EC-1-005,Grupo,Exposição Corporal,1,Desafio,Solo,Mostre o ombro completamente por 10 segundos e cubra de volta.
EC-1-006,Grupo,Exposição Corporal,1,Desafio,Solo,Levante a blusa até as costelas de costas pro grupo por 5 segundos e abaixe.
EC-1-007,Grupo,Exposição Corporal,1,Desafio,Solo,Puxe o decote levemente pra revelar o colo por 5 segundos e solte.
EC-1-008,Grupo,Exposição Corporal,1,Desafio,Solo,Mostre a barriga de costas por 5 segundos levantando a blusa e abaixe.
EC-1-009,Grupo,Exposição Corporal,1,Desafio,Solo,Levante a barra do shorts ou saia pra mostrar a coxa por 5 segundos e abaixe.
EC-1-010,Grupo,Exposição Corporal,1,Desafio,Solo,Mostre a nuca prendendo o cabelo por 10 segundos e solte de volta.
EC-1-011,Grupo,Exposição Corporal,1,Desafio,Solo,Abaixe a calça até o quadril por 5 segundos e puxe de volta.
EC-1-012,Grupo,Exposição Corporal,1,Desafio,Solo,"Desabotoe um botão da camisa, mostre por 5 segundos e abotoe de volta."
EC-1-013,Grupo,Exposição Corporal,1,Desafio,Solo,Levante a blusa pra mostrar o umbigo por 10 segundos enquanto o grupo olha em silêncio — abaixe.
EC-1-014,Grupo,Exposição Corporal,1,Desafio,Solo,Mostre o tornozelo e a canela dobrando a calça pra cima por 10 segundos e desfaça.
EC-1-015,Grupo,Exposição Corporal,1,Desafio,Solo,"Vire de costas, levante a blusa até a cintura por 5 segundos e abaixe."
EC-1-016,Grupo,Exposição Corporal,1,Desafio,Solo,Mostre o ombro e a clavícula descendo a blusa por 10 segundos e suba de volta.
EC-1-017,Grupo,Exposição Corporal,1,Desafio,Solo,Levante a blusa lateralmente pra mostrar a cintura por 5 segundos e cubra.
EC-1-018,Grupo,Exposição Corporal,1,Desafio,Solo,Puxe o cós da calça pra baixo levemente pra mostrar o quadril por 5 segundos e ajuste.
EC-1-019,Grupo,Exposição Corporal,1,Desafio,Solo,Mostre a parte baixa das costas levantando a blusa por 5 segundos e abaixe.
EC-1-020,Grupo,Exposição Corporal,1,Desafio,Solo,Levante a barra da camisa pra mostrar a barriga de frente por 10 segundos — sem cobrir com as mãos — e abaixe.
EC-1-021,Grupo,Exposição Corporal,1,Desafio,Solo,Mostre o pescoço e o colo puxando a blusa pra baixo por 5 segundos e ajuste.
EC-1-022,Grupo,Exposição Corporal,1,Desafio,Solo,Abaixe a calça até mostrar a parte superior da bunda por 3 segundos e puxe de volta.
EC-1-023,Grupo,Exposição Corporal,1,Desafio,Solo,Mostre a parte interna do braço levantando o braço por 10 segundos e abaixe.
EC-1-024,Grupo,Exposição Corporal,1,Desafio,Solo,Levante a blusa de frente pra mostrar o estômago por 10 segundos enquanto o grupo faz um comentário e abaixe.
EC-1-025,Grupo,Exposição Corporal,1,Desafio,Solo,"Vire de lado, puxe o cós da calça pra mostrar o quadril por 5 segundos e ajuste."
EC-1-026,Grupo,Exposição Corporal,1,Desafio,Solo,"Mostre a barriga de frente levantando lentamente a blusa, segure por 5 segundos e abaixe na mesma velocidade."
EC-1-027,Grupo,Exposição Corporal,1,Desafio,Solo,Afrouxe o ombro da blusa pra mostrar o ombro nu por 10 segundos e coloque de volta.
EC-1-028,Grupo,Exposição Corporal,1,Desafio,Grupo,Todos levantam a blusa até o umbigo ao mesmo tempo por 5 segundos e abaixam juntos.
EC-1-029,Grupo,Exposição Corporal,1,Desafio,Grupo,Cada pessoa mostra o ombro ao mesmo tempo por 10 segundos e cobre de volta simultaneamente.
EC-1-030,Grupo,Exposição Corporal,1,Desafio,Grupo,O grupo todo abaixa a calça até o quadril por 5 segundos e puxa de volta ao mesmo tempo.
EC-1-031,Grupo,Exposição Corporal,1,Desafio,Grupo,Todos mostram as costas ao mesmo tempo levantando a blusa por 5 segundos e abaixam juntos.
EC-1-032,Grupo,Exposição Corporal,1,Desafio,Grupo,Cada pessoa mostra a barriga lateralmente por 5 segundos ao mesmo tempo e cobre.
EC-1-033,Grupo,Exposição Corporal,1,Desafio,Grupo,O grupo todo mostra o colo puxando a blusa por 5 segundos ao mesmo tempo e solta.
EC-1-034,Grupo,Exposição Corporal,1,Desafio,Grupo,Todos levantam a barra do shorts ou calça pra mostrar a coxa por 5 segundos ao mesmo tempo.
